,Gene name,Log2(Fold expression) (ATXN1[82Q] vs. WT),Fold Expression (ATXN1[82Q] vs. WT)
340,Hmgcs2,0.466451179,1.381706486
341,Homer3,-0.654075751,0.635482477
342,Hpcal1,-0.718806204,0.607600009
343,Hpcal4,-0.411042258,0.752079846
344,Hr,0.326736696,1.254173286
345,Hrh3,-1.08344977,0.471899069
346,Hrk,0.801557941,1.742982327
347,Hs3st1,0.350050083,1.274604874
348,Hs3st3b1,-1.085468078,0.471239351
349,Hs3st4,-2.016168185,0.247213908
350,Hspa12a,-0.37822057,0.769385971
351,Htr1a,-2.154064608,0.22467872
352,Htr2c,-1.823747635,0.282486214
353,Htr7,-1.526285572,0.347170057
354,Icmt,-0.651524183,0.636607393
355,Id2,-0.48815935,0.712934109
356,Ier3,-0.779532306,0.582555616
357,Ifrd1,0.299207742,1.230468515
358,Igdcc3,0.620446972,1.537351405
359,Igfbp5,-0.564989189,0.675960482
360,Igsf1,-0.766351262,0.587902467
361,Igsf21,0.359824811,1.283270058
362,Il16,0.28569503,1.218997384
363,Il1rap,-0.395138292,0.760416482
364,Iltifb,-0.53187132,0.691657003
365,Impg2,-1.014063808,0.495149536
366,Ing3,0.309455369,1.239239787
367,Inpp4a,-0.391810663,0.762172435
368,Inpp5a,-0.58773647,0.665386052
369,Insig1,-0.274638973,0.826657159
370,Insm1,-1.001353775,0.499531037
371,Ipo5,-0.347753772,0.78580662
372,Iqca,-0.996955489,0.501056261
373,Irs2,0.365399188,1.28823803
374,Itgb1bp1,-0.414825955,0.750109982
375,Itpka,-0.797615713,0.575299167
376,Jup,0.339048885,1.264922403
377,Kalrn,-0.742695949,0.597621539
378,Kank2,0.286829084,1.219955974
379,Kank4,-0.459357622,0.72731003
380,Kcna4,-0.656029138,0.634622626
381,Kcna6,-0.502756783,0.705756892
382,Kcnab1,-0.588346218,0.665104889
383,Kcnc2,-1.576890403,0.335203611
384,Kcnc3,-0.382301684,0.767212598
385,Kcne2,-0.901918987,0.535174401
386,Kcnf1,-1.411636697,0.375885014
387,Kcng4,-0.451661138,0.731200449
388,Kcnh5,-1.124591975,0.458631714
389,Kcnip1,-0.644709545,0.639621551
390,Kcnip2,-1.175395668,0.442762313
391,Kcnj4,-1.222694049,0.428481836
392,Kcnj8,0.630832933,1.548458731
393,Kcnk1,0.340017847,1.265772252
394,Kcnma1,-0.503408402,0.705438196
395,Kcnmb4,-0.406460137,0.754472312
396,Kcnq5,-0.920370172,0.528373431
397,Kcnt2,-1.035906149,0.487709457
398,Kctd12,-0.856846337,0.552158231
399,Kif17,-0.608420152,0.655914579
400,Kitl,-0.282710835,0.822044937
401,Kl,-0.847547823,0.555728517
402,Klf10,-0.401400314,0.757123045
403,Klhl1,-0.470735806,0.721596474
404,Klhl14,-1.557819097,0.33966416
405,Klhl4,-0.306644897,0.808519852
406,Krt1,-1.044884046,0.484683863
407,Ksr2,-0.425240136,0.744714764
408,Lamc2,0.935261798,1.912237608
409,Lancl1,-0.396822156,0.759529468
410,Lbp,-0.782149574,0.58149973
411,Ldb2,-1.409134094,0.376537617
412,Lhpp,-0.641672464,0.640969465
413,Lhx1os,-0.51420563,0.700178355
414,Lhx2,-3.019433341,0.123327519
415,Lhx5,-0.558746257,0.678891884
416,Lhx9,-2.141560465,0.226634521
417,Lmo3,-1.239707882,0.42345839
418,Lonrf1,-0.451843208,0.731108177
419,Lonrf3,-0.44253633,0.735839828
420,Lor,-1.389840966,0.381606866
421,Lrfn2,-1.54029913,0.34381416
422,Lrp8,-0.331382754,0.794774366
423,Lrrc6,-1.735162491,0.300375179
424,Lrrc7,-0.614987956,0.652935344
425,Lrrfip1,-0.392530774,0.761792097
426,Lrriq1,-1.238583463,0.423788557
427,Lrrtm4,-0.670310752,0.628371323
428,Lrtm2,-0.327460751,0.796937919
429,Ltbp2,0.370316322,1.29263622
430,Ly6h,-0.400050973,0.757831507
431,Lypd6b,-0.770460225,0.586230435
432,Maats1,-1.169723594,0.444506496
433,Magel2,-1.723329629,0.302848962
434,Mak,-1.134688604,0.455433208
435,Mal,-0.400752218,0.757463241
436,Mal2,-0.61989137,0.650719923
437,Man1a,-0.48728635,0.713365648
438,43891,-0.584597988,0.666835128
439,Mast4,-0.356416711,0.781102232
440,Mcf2,-0.667434626,0.629625281
441,Mdfi,-1.624250485,0.324378367
442,Mdga1,0.422385874,1.340141999
443,Mdga2,-0.322804566,0.799514129
444,Meis2,-1.748675275,0.297574895
445,Mertk,-0.560967502,0.677847432
446,Mfap1a,0.754842104,1.687446899
447,Mfap1b,0.758114643,1.691278966
448,Mfsd2a,-0.778680029,0.582899864
449,Mgp,-0.391115966,0.76253953
450,Miat,-1.323180171,0.399653001
451,Mlf1,-0.878821128,0.543811615
452,Mlph,-1.036114351,0.487639078
453,Mmd,-0.31055656,0.806330635
454,Mme,-0.995789605,0.501461343
455,Mmp12,4.416927065,21.36129291
456,Mmp14,0.533906373,1.447844208
457,Mn1,-1.330530663,0.397621959
458,Mobp,-0.343379196,0.788192979
459,Mog,-0.445994699,0.734078015
460,Moxd1,0.607494833,1.523611237
461,Mpeg1,0.356496573,1.280313019
462,Mpp3,0.278493459,1.212927617
463,Mpped1,-0.724623798,0.605154826
464,Mprip,-0.328263182,0.796494783
465,Mrap2,-0.575577433,0.671017626
466,Mrgpre,-0.591382371,0.663706648
467,Mroh7,-0.853041455,0.553616384
468,Mtss1,-0.297961461,0.813400926
469,Mustn1,1.492823206,2.814391842
470,Mxi1,0.367400348,1.290026184
471,Mycl,-0.696627179,0.617013013
472,Myo10,-0.428762879,0.742898553
473,Myo15,-0.736250246,0.600297579
474,Myo5b,-0.875582355,0.545033815
475,Myof,-0.58149396,0.668271401
476,Myrf,-0.378050561,0.769476642
477,Nbl1,0.31505272,1.244057114
478,Ndst4,-2.228513812,0.213378421
479,Necab1,-0.330075545,0.795494828
480,Necab2,-1.870355678,0.273505988
481,Nek2,-0.9711614,0.51009526
482,Nell1,-0.836514154,0.559994998
483,Neu2,-3.412355365,0.093924454
484,Neurod1,0.356178055,1.280030383
485,Nfil3,0.485801314,1.400363451
486,Ngb,-2.693899032,0.154545223
487,Ngef,-0.615980741,0.652486184
488,Nkain1,0.28007153,1.214255087
489,Nlrp10,-1.232992704,0.425434016
490,Nog,-0.870786793,0.546848538
491,Npr1,-0.569184993,0.673997436
492,Npr3,-0.779365222,0.582623088
493,Nptx2,-1.143799301,0.452566185
494,Npy,-0.549767105,0.683130398
495,Npy1r,-0.768271038,0.587120673
496,Npy5r,-2.053996264,0.240816097
497,Nr4a1,0.659423482,1.57945133
498,Nr4a2,1.433227863,2.700502461
499,Nr4a3,2.194953742,4.578749829
500,Nr6a1,-0.427768211,0.743410922
501,Nrgn,-2.63364647,0.16113631
502,Nrsn1,-0.315960068,0.803316231
503,Nrsn2,-0.368773662,0.774440517
504,Nrxn3,0.32125488,1.24941684
505,Nsg1,-0.460720188,0.72662344
506,Nsg2,-0.412866981,0.751129216
507,Ntf3,0.656459413,1.576209622
508,Ntng2,0.647587245,1.566546121
509,Nts,-2.405979109,0.188680978
510,Nuak1,0.371491921,1.293689971
511,Nup93,-0.34250597,0.788670197
512,Olfm2,-0.520085451,0.697330529
513,Olig1,-0.377906714,0.769553368
514,Olig2,-0.363411921,0.777324061
515,Opalin,-0.41661336,0.74918122
516,Opn3,-1.036742189,0.487426911
517,Oprk1,-0.85675039,0.552194954
518,Oprl1,-0.397146969,0.759358484
519,Osbpl3,0.365735645,1.288538501
520,Ostn,-1.83744953,0.279816021
521,Otoa,-1.496072354,0.354517229
522,Otof,-1.110802001,0.463036555
523,P4ha2,-0.785521067,0.580142386
524,Pak6,-1.60791685,0.328071722
525,Palm2,-0.485699513,0.714150719
526,Pam,-0.284178511,0.821209083
527,Pappa,0.735163616,1.664586239
528,Paqr7,-0.514829158,0.699875806
529,Pcdh11x,-0.877510144,0.544306005
530,Pcdh15,-0.467860792,0.723035911
531,Pcdh17,-0.40374157,0.755895355
532,Pcdh18,-0.790776282,0.578032982
533,Pcdh19,-0.629640104,0.646337631
534,Pcdh7,-0.473540203,0.720195154
535,Pcdh8,-1.242993122,0.422495206
536,Pcp2,-0.442661258,0.735776112
537,Pcp4,-0.880205448,0.543290058
538,Pcp4l1,-0.352645177,0.783146883
539,Pde10a,0.296348673,1.228032441
540,Pde1c,0.433860279,1.350843253
541,Pde5a,-0.476634603,0.718652081
542,Pde9a,-0.416054525,0.749471475
543,Pdgfra,-0.32655574,0.797438
544,Pdyn,-3.467203427,0.09042068
545,Peg10,-0.365007458,0.776464861
546,Per1,0.519758814,1.433715543
547,Per2,-0.847252879,0.555842141
548,Per3,-0.292666629,0.816391672
549,Pgr,-0.377181238,0.769940445
550,Phlda3,-0.434978238,0.739704912
551,Pik3c2b,-0.397622117,0.759108432
552,Pkp3,-0.569670769,0.673770529
553,Plcb3,-0.926042812,0.526299959
554,Plcl1,-0.407643583,0.753853671
555,Plekhd1,-0.4240422,0.745333391
556,Plekhd1os,-1.186723757,0.439299342
557,Plekhg5,-0.683741611,0.622548607
558,Plxdc1,-0.634762906,0.644046649
559,Plxdc2,-0.318104043,0.802123317
560,Pnma2,-0.455894626,0.729057938
561,Pogk,-0.352366424,0.783298215
562,Polr3k,-0.362160367,0.777998691
563,Pou3f1,-0.895561348,0.537538
564,Pou3f2,-0.390056245,0.763099854
565,Ppapdc2,-0.456186715,0.728910347
566,Ppm1d,0.290501159,1.223065068
567,Ppm1j,-0.964833108,0.512337676
568,Ppp1r16b,-0.764581614,0.588624046
569,Ppp1r17,-0.475704235,0.719115676
570,Ppp1r1b,-0.514327205,0.700119355
571,Ppp1r36,-1.002200668,0.499237888
572,Ppp4r4,-0.48308809,0.715444574
573,Prkar2b,-0.571788522,0.672782217
574,Prkcg,-0.406628962,0.754384029
575,Prkg2,-1.074625243,0.474794378
576,Prlr,-1.258209261,0.418062556
577,Prmt8,-0.380680347,0.768075296
578,Prps2,-0.33688145,0.791750923
579,Prss12,-1.477753376,0.3590475
580,Psd2,-0.408312999,0.753503961
581,Ptger2,-1.267549472,0.415364703
582,Ptgfrn,-0.335153857,0.792699594
583,Ptk2b,-1.323326474,0.399612475
584,Ptpn5,-0.481076774,0.716442698
585,Ptprm,-0.544194852,0.685774016
586,Ptpro,-0.523337482,0.695760421
587,Ptprr,-0.376092125,0.770521904
588,Rab27b,-0.485414813,0.714291663
589,Rab3d,-0.499801741,0.70720396
590,Rasal1,-0.460284317,0.726843003
591,Rasd2,-0.408404798,0.753456017
592,Rasgrf2,-2.104489582,0.23253349
593,Rasgrp2,-0.663736008,0.631241514
594,Rbm24,-0.523704955,0.695583225
595,Rdh11,-0.452734273,0.730656755
596,Rell1,0.350979764,1.275426502
597,Resp18,-1.157702436,0.448225789
598,Rgs10,-0.366356115,0.775739347
599,Rgs16,-0.737565849,0.599750413
600,Rgs22,-1.012403012,0.495719868
601,Rgs8,-0.990532427,0.503292001
602,Rgs9,-0.891635438,0.539002758
603,Rhbdl3,-0.588550714,0.66501062
604,Rhobtb2,-0.715199848,0.609120748
605,Rhou,-0.409618882,0.752822221
606,Rims3,0.346651668,1.271605947
607,Rmdn3,-0.682624273,0.623030945
608,Rnf122,0.606191732,1.52223567
609,Rnf19b,-0.51532835,0.699633682
610,Robo2,-0.410246237,0.752494928
611,Rsph1,-0.725291603,0.604874773
612,Rsph4a,-1.102183334,0.465811017
613,Rtel1,-0.620044643,0.650650794
614,Rtkn,-0.345850613,0.786843917
