,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
42,Plxdc1,Bcar1,Dao,Itgb1bp1,Ptprr,Fam117a
43,Ptprm,Bcl2,Dap,Clstn2,Kcnq2,Zfp652
44,Ptprr,Bcl6,Dbp,Kctd1,Icmt,Srcin1
45,Rab3d,Bdnf,Dgkh,Ephx1,Olfm3,Ppp1r1b
46,Rasd2,Bean1,Dgkz,Ppt1,Marveld2,Jup
47,Rdh11,Bmf,Dner,Casq2,Car9,Zfp385c
48,Rgs8,Cacna1g,Doc2b,Ptprm,Slc16a11,Ifi35
49,Rhobtb2,Cacna1i,Dusp5,Gna13,Triobp,Gfap
50,Rhou,Cacna2d2,Eomes,Prkcd,Chn2,Crhr1
51,Ryr1,Cacnb2,Epor,Ly86,Ctnnb1,Lgals3bp
52,Sbk1,Calb1,Eps8l2,Dnmt3a,2610002J02Rik,Baiap2
53,Slc20a1,Camkv,Erbb3,Ide,Inpp5a,Sdc1
54,Slc2a1,Car4,Erp29,Cacna1g,Cerk,Nbas
55,Spag5,Car8,Fa2h,Adam23,Rnf123,Hpcal1
56,Stk17b,Casp3,Fam107b,Agt,Id2,Id2
57,Stk32b,Cbln2,Fam21,Nnat,Cox6b2,Nova1
58,Strn3,Ccdc108,Fam222a,Strn3,Hr,Strn3
59,Th,Ccdc50,Fgf11,Kcnc1,AI118078,Arhgap5
60,Tpbg,Cck,Fgf7,Dym,Clu,Rtn1
61,Tpm2,Cckbr,Fkbp5,Rasl11b,Fgf11,Syt16
62,Trpc3,Ccl3,Foxj1,Thoc3,Vcam1,Hspa2
63,Tuba8,Ccnd1,Foxp4,Sbk1,Slc20a1,Fut8
64,Zdhhc14,Cd24a,Gabbr1,Itpka,Mmp17,Rdh11
65,,Cd68,Gabbr2,Gdpd5,Slc14a1,Plekhd1
66,,Cdh13,Galnt15,Bbs2,Cacnb3,Ylpm1
67,,Cdh9,Galr1,Srgap3,Plcb3,Ttll5
68,,Cdhr1,Garnl3,Klhdc4,Nab1,Irf2bpl
69,,Cdkl4,Gdf11,Plxdc1,Dusp1,Kcnk10
70,,Cep72,Gfap,Senp2,Gria1,Eml5
71,,Cep76,Gfra1,Cdadc1,Mapk12,Foxn3
72,,Chn1,Glra2,Snrk,Zfp467,Lgmn
73,,Chrdl1,Gm5083,Pitpnm1,Nrk,Ppp4r4
74,,Chst8,Gng13,Echdc2,Lhx1,Slc25a29
75,,Chsy3,Gpr158,Kcnma1,Kcnj9,Ckb
76,,Clmn,Gpr63,Asph,Tinf2,Dnah11
77,,Clstn2,Gprc5c,Ptprr,Lrrc49,Dip2c
78,,Cnksr1,Grid2ip,Kcnq2,Rhobtb2,Sfrp4
79,,Cnksr3,Grik1,Glul,Igfbp5,Sox4
80,,Cntn3,Grm5,Eif4b,Phf20,Tubb2b
81,,Cntn6,Hdc,Prkrir,Car7,Elovl2
82,,Cntnap5b,Hif3a,Icmt,Rgs8,Gfod1
83,,Col11a1,Homer3,Olfm3,Ndst3,Cd83
84,,Col18a1,Hpcal1,Sepn1,Bai1,Diras2
85,,Col25a1,Hr,Apbb2,Abcc8,Spock1
86,,Col5a1,Hrh3,Map4k3,Pltp,Cep72
87,,Colec10,Icmt,Ppp2r5b,Pcp4,Ell2
88,,Colq,Id2,Ube3c,Fut8,Sv2c
89,,Corin,Ier3,Car9,Nr2f6,Rgs7bp
90,,Cox6b2,Igfbp5,Epn2,Bub3,Grm3
91,,Cpeb1,Igsf21,Ryr1,Tgfb3,Sema3a
92,,Cpne4,Iltifb,Cmya5,Tnfaip6,Gnai1
93,,Cpne5,Inpp5a,Gstz1,Nfyb,Magi2
94,,Cpne6,Ipo5,Nup88,Spock1,Smarcd3
95,,Creg1,Itpka,Foxk2,Bmp5,Ywhah
96,,Crhbp,Jup,Vps25,Igfbp4,Nsg1
97,,Cttnbp2,Kcna6,Pqlc1,Synpr,Kcnip4
98,,Cyp27a1,Kcnc3,Sdccag3,Cd99l2,Rell1
99,,Cyth3,Kcng4,Sf3a3,Spon1,Uchl1
100,,D8Ertd82e,Kcnip1,Pi4k2a,Nova1,Kit
101,,Dagla,Kcnk1,Inpp5a,Robo1,Rufy3
102,,Dap,Kcnmb4,Sec23ip,Tm7sf3,Naaa
103,,Dbndd1,Lhpp,Dnajc11,Pitpnc1,Sept11
104,,Dbp,Lhx1os,Cerk,Sox4,Sparcl1
105,,Dgkh,Lrp8,Tceb3,Peg3,Fbrsl1
106,,Dgkz,Mal,B3galnt2,Hmgn3,Fam222a
107,,Dhcr24,Mal2,Ppp2r5c,Aldh18a1,Ankrd13a
108,,Dner,Mdfi,Sbno1,Bmi1,Oasl2
109,,Doc2b,Meis2,Tbl1x,Calb2,Rph3a
110,,Dpp10,Mertk,Extl3,Mef2c,Erp29
111,,Ebf2,Mfsd2a,Nptx1,Fbxo21,Anapc5
112,,Epor,Mobp,Kctd12,Lrrtm1,Rhof
113,,Eps8l2,Mpp3,Tpcn1,6430548M08Rik,Caln1
114,,Erbb3,Mprip,Id2,Arhgap5,Gatsl2
115,,Erp29,Necab1,Cox6b2,Baiap2,Hip1
116,,Espn,Necab2,Camsap1,Bcar1,Agfg2
117,,Etl4,Nell1,Hr,Camk1d,Grid2ip
118,,Fam107b,Neurod1,Xab2,Col18a1,Cyth3
119,,Fam174b,Nkain1,Phc2,Creg1,Pan3
120,,Fam19a2,Nlrp10,Clu,Dap,Hsph1
121,,Fam21,Npr1,Btbd10,Hspb8,Peg10
122,,Fam222a,Nr4a1,Fgf11,Id4,Thsd7a
123,,Fam65b,Nr4a2,Slc20a1,Itgb5,Gpr85
124,,Fam69b,Nrsn2,Cd2bp2,Kcnd2,Cttnbp2
125,,Fbln7,Nsg1,Plcb3,Marcks,Kcnd2
126,,Fgd3,Ntf3,Rbp1,Mus81,Cpa2
127,,Fgf11,Ntng2,Nab1,Ndn,Wipf3
128,,Fgf7,Oprl1,Sdc4,Slc25a29,Herc6
129,,Fkbp5,Paqr7,3010026O09Rik,Spag5,Gprin3
130,,Foxo3,Pcdh11x,Rab3d,Stk17b,Gng12
