,Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
2388,Pnma2,0.6071608070000001,1.523258517
2389,Ppp2r2a,-0.42964866799999996,0.742442567
2390,Ebf2,-0.488158196,0.7129346790000001
2391,Kctd9,-0.504367232,0.70496951
2392,R3hcc1,0.181880176,1.134361266
2393,Rhobtb2,-0.7931081059999999,0.5770994629999999
2394,Slc39a14,-0.201731235,0.869506529
2395,Phyhip,-0.273733377,0.827176224
2396,Bmp1,0.404499888,1.323629993
2397,Lgi3,0.203237787,1.151279231
2398,Hr,-0.329307169,0.795918619
2399,Xpo7,-0.095365271,0.9360352259999999
2400,Rb1,-0.142633066,0.905864351
2401,Itm2b,-0.131589636,0.912825098
2402,Htr2a,0.624849856,1.5420503330000002
2403,Lrch1,-0.272328556,0.827982077
2404,Gpalpp1,0.134399951,1.097636187
2405,Lacc1,0.409950793,1.328640496
2406,Akap11,-0.281750679,0.822592214
2407,Dgkh,-1.149294496,0.45084564899999996
2408,Vwa8,-0.301992804,0.811131202
2409,Kbtbd7,-0.270513296,0.829024535
2410,Sugt1,-0.172810838,0.887112613
2411,Pcdh20,-0.475699484,0.719118044
2412,Klhl1,0.40790364100000004,1.326756523
2413,Dach1,-0.624661326,0.648572012
2414,Klf12,-0.244374514,0.844181715
2415,Tbc1d4,-0.31340766,0.804738712
2416,Kctd12,-1.1889977459999999,0.43860746
2417,Fbxl3,-0.13268511,0.91213223
2418,Mycbp2,-0.167251214,0.8905378190000001
2419,Ednrb,0.244722605,1.1848649279999999
2420,Rbm26,-0.235755861,0.849239946
2421,Gm17066,-0.545324206,0.6852373970000001
2422,Slitrk6,0.6288817520000001,1.546365925
2423,Gpc5,0.401513845,1.32089322
2424,Gpc6,-0.669026673,0.6289308579999999
2425,Ipo5,-0.725522041,0.604778165
2426,Farp1,-0.25458619,0.83822753
2427,B930095G15Rik,-0.28009969,0.823534109
2428,Tm9sf2,-0.204489127,0.867845946
2429,Pcca,-0.174143866,0.8862933140000001
2430,Fgf14,-0.184654519,0.87985975
2431,Scaf8,-0.15118093800000001,0.900513033
2432,Arid1b,-0.392586499,0.761762672
2433,Zdhhc14,-0.7709580659999999,0.586028175
2434,Synj2,-0.179966331,0.882723597
2435,1700010I14Rik,0.62067008,1.537589171
2436,Qk,-0.18352294,0.88055014
2437,Pacrg,0.24025976699999999,1.181205326
2438,Agpat4,0.202914655,1.151021399
2439,Tcp1,0.112931781,1.0814236259999999
2440,Sod2,0.137449771,1.099959016
2441,Pdcd2,0.181285277,1.133893606
2442,Rgmb,-0.35873460799999995,0.7798482870000001
2443,Gm6712,-0.446559995,0.733790435
2444,Lix1,0.420412451,1.338310109
2445,Lnpep,-0.320542127,0.800768913
2446,Zfp160,-0.260654837,0.83470896
2447,Zfp760,-0.24085797399999997,0.846241901
2448,Zfp942,-0.192341089,0.87518439
2449,Zfp944,-0.202441156,0.8690787670000001
2450,Zfp758,-0.27551934100000003,0.8261528659999999
2451,Zfp13,0.24437896899999997,1.184582739
2452,Hcfc1r1,0.16501559300000002,1.121178196
2453,Tnfrsf12a,0.492834657,1.4072070909999999
2454,Paqr4,0.29589921199999997,1.2276499159999998
2455,Flywch2,0.37961742299999995,1.300996808
2456,Srrm2,-0.380901575,0.767957525
2457,Tceb2,0.145804599,1.106347497
2458,Pdpk1,-0.21633966300000002,0.860746514
2459,Tbc1d24,0.117087767,1.084543385
2460,Abca3,-0.37021878399999997,0.773665162
2461,Caskin1,-0.303173453,0.810467673
2462,Tsc2,-0.26797592600000003,0.830483882
2463,Ndufb10,0.238322929,1.179620605
2464,Fahd1,0.16413132800000002,1.120491208
2465,Eme2,0.19597072899999998,1.145494657
2466,Mapk8ip3,-0.20449100399999998,0.867844817
2467,Mrps34,0.185952693,1.137567926
2468,Nme3,0.173232928,1.1275824490000002
2469,Cramp1l,-0.281541616,0.822711425
2470,Gnptg,0.14916163699999999,1.108924878
2471,Baiap3,1.152826071,2.223490238
2472,Ube2i,0.38336279999999995,1.304378711
2473,Gng13,-1.5518213509999998,0.34107919200000003
2474,Haghl,0.236783087,1.178362225
2475,Fam173a,-0.257875949,0.836318308
2476,Metrn,-0.325305134,0.7981295620000001
2477,Rab40c,-0.329375535,0.7958809029999999
2478,Capn15,-0.389637083,0.763321598
2479,Rab11fip3,-0.37975978899999996,0.768565548
2480,Arhgdig,0.658419371,1.578352419
2481,Rgs11,0.537389398,1.451343887
2482,Bnip1,0.241537437,1.182251881
2483,Zbtb9,0.20531725899999997,1.152939859
2484,Ggnbp1,0.21033451,1.15695641
2485,Bak1,0.308331907,1.238275136
2486,Grm4,-0.417261392,0.7488447770000001
2487,Snrpc,0.39217335,1.312368935
2488,Taf11,0.174509525,1.128580655
2489,Tcp11,1.39898181,2.637153978
2490,Def6,0.491426229,1.4058339780000002
2491,Ppard,-0.489967227,0.712041273
2492,Fkbp5,0.49308940799999995,1.407455596
2493,E230001N04Rik,0.9450747970000001,1.9252886999999999
2494,4930539E08Rik,2.178796291,4.527756244
2495,Cpne5,0.855166674,1.808967732
2496,Cmtr1,0.205984429,1.153473155
2497,Rnf8,0.160606101,1.117756628
2498,Ccdc167,0.18203425399999998,1.134482421
2499,Zfand3,-0.212522149,0.86302715
2500,Btbd9,-0.211241961,0.863793305
2501,Pde9a,-0.483890176,0.715046924
2502,Ndufv3,0.18523338399999997,1.137000891
2503,Brd4,-0.436198831,0.73907935
2504,Akap8,0.174543351,1.128607116
2505,Wiz,-0.8699926729999999,0.547149629
2506,Zfp871,-0.28630563600000003,0.819999175
2507,Zfp472,-0.28539639699999997,0.8205161320000001
2508,Zfp81,-0.22994509300000002,0.852667342
2509,Myo1f,0.529969335,1.443898504
2510,Zfp414,0.211420909,1.157827966
2511,Kank3,0.330348313,1.257316895
2512,H2-Ke2,0.208854541,1.155770171
2513,Psmb8,0.5571520329999999,1.4713617909999999
2514,Fkbpl,0.254773676,1.193148552
2515,Neu1,0.145436332,1.106065123
2516,1110038B12Rik,0.319389701,1.247802583
2517,D17H6S56E-5,0.560378134,1.4746556780000002
2518,Clic1,0.303858399,1.23444144
2519,Ddah2,0.27431020100000003,1.209415691
2520,Csnk2b,0.232669502,1.1750071229999999
2521,Gpank1,0.251736462,1.190639335
2522,Bag6,-0.308222115,0.807636426
2523,Prrc2a,-0.50467813,0.7048176070000001
2524,H2-D1,-0.38362172200000005,0.766510934
2525,Flot1,0.31775707,1.246391302
2526,Tubb5,0.19900743699999998,1.147908331
2527,Mrps18b,0.47088933,1.385963563
2528,Trim39,0.18993872399999998,1.140715265
2529,Gabbr1,-0.540436625,0.68756279
2530,Ptchd4,-0.82446456,0.564691743
2531,Gpr116,0.286896706,1.220013156
2532,Lrrc73,-0.502610028,0.705828687
2533,Zfp318,-0.175667152,0.8853580040000001
2534,Ttbk1,-0.285299718,0.8205711179999999
2535,Cul9,-0.264864683,0.8322767940000001
2536,Klc4,0.147751883,1.107841803
2537,Mrpl2,0.26332014800000003,1.200237697
2538,Mea1,0.16939257100000002,1.1245848920000001
2539,Pex6,-0.268453926,0.830208768
2540,Rpl7l1,0.121742345,1.088048107
2541,Gltscr1l,-0.234549791,0.849950194
2542,Ubr2,-0.29480052,0.8151850390000001
2543,Mrps10,0.167621985,1.123205562
2544,Taf8,0.262366593,1.1994446570000001
2545,Mdfi,-1.3169969320000001,0.40136954799999996
2546,Foxp4,-0.736559272,0.600169009
2547,Trem2,0.643196046,1.5617851999999999
2548,Pot1b,-0.34813451799999995,0.785599264
2549,Shd,0.28425011,1.2177771179999999
2550,Fsd1,0.16636613,1.122228246
2551,Ubxn6,0.17089711100000002,1.125758298
2552,Dpp9,-0.48394388,0.7150203070000001
2553,Vmac,0.17854239,1.131739868
2554,Dus3l,0.22243447600000002,1.166700676
2555,Mllt1,-0.20826457399999998,0.8655778140000001
2556,Clpp,0.19412478800000002,1.144029923
2557,Gtf2f1,0.238120571,1.179455159
2558,Khsrp,-0.297652245,0.8135752829999999
2559,Tubb4a,-0.264475435,0.832501378
2560,Cntnap5c,-0.389190495,0.763557921
2561,Fbxl17,-0.5313510889999999,0.691906457
2562,Pja2,-0.197519362,0.8720487170000001
2563,Man2a1,-0.196585715,0.87261325
2564,Vapa,-0.163334385,0.89295886
2565,Ankrd12,-0.12628828,0.916185554
2566,Wash,0.144705757,1.105505159
2567,Soga2,-0.32750681,0.796912477
2568,Ptprm,-0.6705464720000001,0.628268663
2569,A330050F15Rik,-0.402727664,0.756426775
2570,Dlgap1,-0.28244257,0.822197808
2571,Myl12b,0.28822392199999997,1.221136032
2572,Lpin2,-0.10007528199999999,0.9329843059999999
2573,Smchd1,-0.11087446699999999,0.926026595
2574,Lbh,0.160920352,1.118000127
2575,Galnt14,0.344243914,1.2694854979999999
2576,Ehd3,0.29343947800000003,1.225558608
2577,Memo1,-0.204334646,0.867938878
2578,Birc6,-0.19618532100000002,0.8728554620000001
2579,Crim1,-0.437926054,0.738195038
2580,Strn,-0.133406937,0.911675975
2581,Heatr5b,-0.23810954399999998,0.847855584
2582,Ndufaf7,0.124910638,1.090440187
2583,Atl2,-0.9045435190000001,0.5342017029999999
2584,Hnrnpll,-0.3308011,0.7950948609999999
2585,Srsf7,-0.20122100399999998,0.869814097
2586,Arhgef33,-1.235859632,0.42458943200000004
2587,Sos1,-0.34274777799999995,0.78853802
2588,Cdkl4,0.6487627029999999,1.567823009
2589,Map4k3,-0.117431231,0.921827537
2590,Cox7a2l,0.223500922,1.167563425
2591,Zfp36l2,-0.405962229,0.754732744
2592,Thada,-0.20127446899999998,0.8697818629999999
2593,Dync2li1,0.212256253,1.158498561
2594,Ppm1b,-0.221278876,0.8578046990000001
2595,Prepl,-0.19814163399999998,0.87167266
2596,Prkce,-0.317536861,0.8024387270000001
2597,Epas1,-0.43886745,0.737713504
2598,Socs5,-0.387123585,0.764652634
2599,Calm2,-0.22321941,0.856651663
