Gene name,Log2(Fold expression) (Atxn1-154Q vs. WT)_Lim,Fold Expression (Atxn1-154Q vs. WT)_Lim,Log2(Fold expression) (Atxn1-154Q vs. WT)_Orr,Fold Expression (Atxn1-154Q vs. WT)_Orr
Bcl11a,-0.533659,0.690800532,,
Nsg2,-0.880619,0.543134562,,
"Hba-a1,Hba-a2",-0.408602,0.7533532279999999,,
"Hba-a1,Hba-a2",-0.5343319999999999,0.690478866,,
Sh3pxd2b,-0.348414,0.785448005,,
Slit3,0.6186619999999999,1.535453608,,
Ccnjl,0.4346,1.351536148,,
Ebf1,0.34986999999999996,1.2744472359999999,,
P4ha2,-0.585769,0.666292539,,
Gpx3,-0.7589319999999999,0.59093288,,
Trpv2,0.405217,1.324288805,,
Kcnab3,-0.5617989999999999,0.67746034,,
Chd3os,-0.304902,0.809496087,,
Atp2a3,-0.326189,0.797640407,-0.717728658,0.6080539939999999
Camkk1,-0.47299399999999997,0.720467702,,
P2rx5,-1.06351,0.47846739299999996,,
"Mir22,Mir22hg",-0.8642540000000001,0.549328754,,
Slc6a4,-4.08671,0.058854555,,
Spag5,-0.757256,0.591620708,-0.838387507,0.559268311
Aldoc,-0.635602,0.643672447,-0.7753445179999999,0.584249088
Rhbdl3,-0.759476,0.5907109770000001,,
Fam117a,-0.611708,0.654420947,-0.729411826,0.603149763
Hoxb8,-2.70733,0.153112938,,
Hoxb6,-3.424,0.09316941699999999,,
Hoxb5,-2.3656,0.19403614100000002,,
Hoxb3,-1.63066,0.322940751,,
Ppp1r1b,-0.391353,0.7624145590000001,-0.624956786,0.6484392
Tcap,-2.09065,0.234775044,-0.983591705,0.505719143
Rnd2,-0.450488,0.731795559,,
Asb16,-1.99153,0.251472046,,
Rprml,-1.68468,0.31107179,-0.8211159509999999,0.566003959
Crhr1,-0.569546,0.6738294340000001,-0.7879215559999999,0.579177894
Tanc2,-0.392836,0.76163119,,
Kcnh6,-0.7498100000000001,0.594682079,,
Kcnj16,-0.335821,0.792337642,,
Kcnj2,-1.06023,0.479552827,,
43352,-0.498933,0.707630752,,
Bahcc1,0.34447300000000003,1.2696863520000001,,
Ddc,-0.620252,0.6505561470000001,,
Cobl,-1.33875,0.39536368,,
Meis1,0.38822199999999996,1.3087798179999999,,
Ccdc85a,-0.518786,0.697958675,,
Rhbdf1,0.399305,1.318872617,,
Kcnip1,-0.596773,0.661229111,-0.5547116879999999,0.6807930959999999
Nipal4,-0.533445,0.690902296,,
Irgm1,0.47998,1.394727038,0.5132951579999999,1.427306485
Jade2,-0.338399,0.7909164959999999,,
Slc36a2,-1.37867,0.38457366,,
Glra1,-1.7148,0.304644664,,
Hs3st3b1,-1.26515,0.416055503,,
Shisa6,-0.313527,0.804672032,,
Efnb3,-0.441543,0.736347066,,
Polr2a,0.46699700000000005,1.3822287919999998,,
"Fgf11,Tmem102",-0.48020799999999997,0.716871013,,
6330403K07Rik,-1.48363,0.357587384,,
Pitpnm3,-0.34328600000000004,0.7882430979999999,,
Spns2,-0.5354140000000001,0.689959526,-0.414353628,0.7503556020000001
Aspa,-0.405481,0.754983713,,
Abr,-0.36321,0.7774321759999999,,
Wsb1,0.371668,1.293847595,0.403455392,1.322672045
Nog,-0.7112390000000001,0.610795045,-0.631565015,0.645475832
"4932411E22Rik,Ankfn1",-1.00371,0.498714375,,
Hlf,-0.5121600000000001,0.701171863,,
Nxph3,-0.710661,0.6110404229999999,-0.8589047479999999,0.551370984
E130012A19Rik,-0.795127,0.576293324,,
Plxdc1,-0.509675,0.702380133,-0.800700587,0.574070336
Stac2,-0.8925069999999999,0.538677733,,
Hap1,-0.7848890000000001,0.580394956,,
Vat1,-0.47769799999999996,0.7181213409999999,,
Gfap,-0.373446,0.77193657,,
Pitpnc1,-0.370684,0.773415305,,
Cacng4,0.395946,1.315812079,,
Ush1g,-1.01977,0.493195559,-0.877789714,0.544200537
Unc13d,-1.2755,0.41307991299999997,-1.103212837,0.465478734
Evpl,-0.8943780000000001,0.537978906,,
"Foxj1,Rnf157",-0.385758,0.765375742,,
Socs3,0.8054560000000001,1.747699928,,
Timp2,-0.908004,0.532921705,,
Cbx8,0.615459,1.532047383,0.479756995,1.3945087580000002
Cbx4,0.557906,1.4721267569999998,0.57291464,1.4875257480000001
Tbc1d16,0.43215200000000004,1.3492411380000002,,
Notum,-0.644791,0.639585388,,
Ntsr2,-0.391533,0.762319663,,
Hpcal1,-0.493187,0.7104557779999999,-0.808635297,0.57092166
Pxdn,-0.47151499999999996,0.721205645,,
Sstr1,-1.43992,0.368587025,,
Lrfn5,-0.606376,0.656844354,,
Galnt16,-0.5294989999999999,0.692796408,,
Plekhd1,-0.30898200000000003,0.80721301,-0.6202979120000001,0.65053658
Rgs6,-0.40744,0.75396027,,
Fos,0.5251020000000001,1.439041483,,
Tmem63c,0.30582,1.236119131,,
Kcnk13,-0.483284,0.715345137,-0.377471689,0.769785452
Slc24a4,-1.1912399999999999,0.437924387,,
Serpina3n,-1.00614,0.497875174,,
D430019H16Rik,-1.6297,0.323156115,,
Hhipl1,-0.9364100000000001,0.522530773,,
Cyp46a1,-0.391351,0.7624133959999999,,
Dlk1,-2.29755,0.203408804,,
A230065H16Rik,-2.8724,0.136559346,,
Adssl1,-0.398242,0.758785202,,
Vipr2,-0.5500010000000001,0.6830196820000001,,
Rapgef5,-0.383807,0.766412732,,
Tmem196,-0.532402,0.691403329,,
Kcns3,-0.956384,0.515346544,,
Kcnf1,-0.979509,0.507153005,,
1700030C10Rik,-1.57889,0.334738563,,
2410018L13Rik,-0.716577,0.6085384,,
