Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
Ikzf4,-0.474459082,0.719736594
Rab5b,0.143161565,1.104322512
Wibg,0.27332446,1.208589623
Tmem198b,0.233316064,1.175533835
Dnajc14,0.182904407,1.135166884
Gdf11,-0.571385801,0.672970047
Pik3ip1,0.334353596,1.260812371
Inpp5j,-0.412563056,0.751287469
Selm,0.150401101,1.109877999
Tug1,-0.227231681,0.854272543
Pes1,0.172226861,1.126796401
Mtfp1,0.14798294,1.108019245
Sec14l2,0.238267437,1.179575233
Rnf215,0.212595552,1.158771054
Tbc1d10a,0.19300577,1.143142908
Gatsl3,0.607877612,1.524015538
Cabp7,-0.632094204,0.645239111
Nipsnap1,0.139742345,1.101708341
Nefh,0.242750555,1.183246419
Ewsr1,0.17484954,1.12884667
Kremen1,-0.256870031,0.836901634
Znrf3,-0.275598407,0.826107591
2210015D19Rik,0.144129649,1.105063788
Dbnl,0.154559776,1.113081921
Pold2,0.23896651,1.180146947
Ykt6,0.167501315,1.123111619
Zmiz2,-0.386179775,0.765153033
NA,-0.357843488,0.78033013
Gm22123,-0.391348481,0.762416644
Ramp3,0.288632452,1.221481872
Adcy1,-0.381453037,0.767664034
Igfbp3,-0.34271729,0.788554684
Tns3,-0.247678116,0.84225085
Upp1,0.866443753,1.823163255
Sec61g,-0.246193931,0.843117769
Egfr,-0.133404523,0.911677501
Plek,0.183020428,1.135258177
Cnrip1,0.175212562,1.129130755
Ppp3r1,-0.245918691,0.843278635
Etaa1,-0.248738587,0.84163197
Spred2,-0.268224746,0.830340662
Rab1,-0.168188095,0.889959695
Sertad2,-0.176709741,0.884718416
Lgalsl,-0.180689335,0.882281332
B3gnt2,-0.20886758,0.865216102
Zrsr1,0.145575941,1.106172162
Xpo1,-0.23717764,0.848403431
Usp34,-0.367488652,0.775130619
Bcl11a,-0.390065551,0.763094931
Ccdc88a,-0.195325732,0.873375683
Rtn4,-0.239467919,0.847057659
Sptbn1,-0.155746415,0.897667821
Psme4,-0.186802104,0.878550972
Gpr75,0.138120711,1.100470682
Asb3,-0.297287524,0.813780985
Cpeb4,-0.2420367,0.845550777
Mpg,0.360633701,1.283989764
Hba-a1,0.601308763,1.517092196
Kcnip1,-0.391499549,0.762336813
Slit3,-0.439302355,0.737491151
Mat2b,-0.132700801,0.91212231
Gabrg2,-0.169776708,0.888980262
Gabra1,-0.233458176,0.850593552
Gabrb2,-0.151284426,0.900448439
Slu7,0.151441306,1.110678527
C1qtnf2,0.536743879,1.450694644
Ttc1,0.159106344,1.116595265
Clint1,-0.221271917,0.857808837
Lsm11,-0.245260805,0.843663268
Adam19,-0.3818762,0.7674389
Cyfip2,-0.437141687,0.738596491
Gm12183,0.257365137,1.195293688
Irgm1,0.277085364,1.211744357
Cnot6,-0.440738469,0.73675739
Mapk9,0.079867795,1.056921183
Rasgef1c,0.338346571,1.264306779
3010026O09Rik,0.258368373,1.196125172
Sqstm1,0.24146305,1.182190924
Mgat4b,-0.33231321,0.794261947
Rufy1,0.171354786,1.126115485
Adamts2,-0.299022824,0.812802743
Zfp354c,-0.13941586,0.90788668
Phykpl,0.198270813,1.147322371
N4bp3,-0.276846349,0.82539331
Sec24a,-0.398430705,0.758683094
Fstl4,-0.742354274,0.597763091
Hspa4,-0.125714555,0.916549971
Zcchc10,-0.29340899,0.815971693
Aff4,-0.21440123,0.861903806
Irf1,0.4465985,1.362823283
Rapgef6,0.201642409,1.150006814
Gm2a,0.126154989,1.091381118
Slc36a1,-0.517779231,0.698446138
Larp1,-0.448695093,0.732705275
Cnot8,0.1168129,1.084336774
Gm9900,0.199447796,1.148258765
2810021J22Rik,0.170756742,1.125648771
Hist3h2a,0.225744098,1.169380224
Trim17,0.225513965,1.169193704
Trim11,0.183954343,1.135993314
2310033P09Rik,0.278897434,1.213267302
4933439C10Rik,0.190619186,1.141253422
Mprip,-0.726326764,0.604440919
Rai1,-0.277675182,0.824919256
Tom1l2,-0.166341513,0.891099531
Atpaf2,0.256201118,1.19432967
Gid4,-0.224583521,0.855842055
Alkbh5,-0.365516841,0.776190757
Llgl1,-0.266094238,0.831567778
Smcr8,-0.251128942,0.840238652
Shmt1,-0.625345588,0.648264471
Rnf112,0.227015585,1.170411285
Epn2,-0.149910584,0.901306322
Ulk2,-0.134950221,0.910701256
A530017D24Rik,-0.218372852,0.859534319
Akap10,-0.178582832,0.883570507
Specc1,-0.130429432,0.91355948
Ttc19,-0.187059864,0.878394019
Ubb,0.235489681,1.177306272
Trpv2,0.251373649,1.190339947
Mmgt2,0.335192889,1.261546067
Zfp287,0.138242126,1.1005633
Trim16,-0.320443869,0.800823453
Arhgap44,-0.226887017,0.854476655
Shisa6,-1.445161581,0.367251024
Myh8,1.999528408,3.998692683
Gas7,-0.22402443,0.856173786
Ntn1,-0.346153736,0.786678611
Pik3r6,0.507725358,1.421806719
Myh10,-0.316599309,0.80296037
Vamp2,-0.640131235,0.641654578
Chd3,0.249016091,1.18839636
Trp53,0.263010681,1.199980266
Atp1b2,-0.406699002,0.754347406
Sat2,0.298075825,1.229503486
Mpdu1,0.172718748,1.127180648
Cd68,0.490840882,1.405263702
Polr2a,-0.498280734,0.707949946
Fgf11,-0.647339404,0.638456661
Nlgn2,-0.795687675,0.576068519
Gps2,0.416483074,1.334669998
Slc2a4,0.370261341,1.292586959
Ctdnep1,-0.377288222,0.769883351
Gabarap,0.173887491,1.128094159
Phf23,0.156966776,1.114940542
Acadvl,0.19552286,1.145139105
Dlg4,-0.274661899,0.826644023
Slc16a13,0.285587907,1.218906874
Pelp1,-0.401373953,0.757136879
Arrb2,0.228021905,1.171227964
Med11,0.203507781,1.151494708
Mink1,-0.195852906,0.873056602
Slc25a11,0.155144721,1.113533315
Rnf167,0.167162284,1.122847721
Pfn1,0.215050489,1.160744535
Camta2,-0.604228914,0.657822877
Nup88,0.101443656,1.072846487
Rpain,0.195975363,1.145498336
C1qbp,-0.264579326,0.83244143
Fam64a,1.655022502,3.149281026
Pitpnm3,-0.514102042,0.700228632
Spns2,-0.599994838,0.659756316
Ankfy1,-0.109846391,0.926686724
Zzef1,-0.25635922,0.837198006
Atp2a3,-1.264019132,0.416382364
Rap1gap2,-0.149434552,0.901603767
E130309D14Rik,-0.174161837,0.886282274
Pafah1b1,-0.181551099,0.881754477
Mnt,-0.376938671,0.770069909
Dph1,0.210813463,1.157340566
Rtn4rl1,-0.223175958,0.856677464
Serpinf1,0.399929047,1.319443017
Prpf8,-0.248350069,0.841858652
Slc43a2,-0.375560731,0.770805766
Crk,-0.120651923,0.919771931
Doc2b,-1.537926793,0.344379986
1700016K19Rik,0.781760156,1.719227132
Abr,-0.469744146,0.722092646
Gosr1,0.136096805,1.098927954
Cpd,-0.285753191,0.820313235
Blmh,0.114228077,1.082395748
Ccdc55,0.227158815,1.170527488
Efcab5,0.323722243,1.251555478
Ssh2,-0.191504046,0.875692314
NA,-0.304151028,0.809918683
Git1,-0.252137095,0.8396517
Taok1,-0.266255528,0.831474816
Flot2,0.170762464,1.125653235
Supt6,-0.270427257,0.829073978
2610507B11Rik,-0.109802671,0.926714808
Spag5,-0.70116663,0.615074628
Aldoc,-0.600376844,0.659581644
Pigs,-0.318885207,0.801689116
Unc119,0.350018352,1.274576841
Sarm1,-0.233601302,0.850509171
Poldip2,0.204477817,1.152269208
Nlk,-0.198411882,0.871509393
Lyrm9,0.129270136,1.093740235
Ksr1,-0.249368936,0.841264321
Nf1,-0.409068286,0.753109586
Rab11fip4,-0.248578355,0.841725451
Suz12,-0.242893398,0.845048824
Adap2,0.3881616,1.308724657
Psmd11,-0.307558864,0.808007806
Myo1d,-0.318841547,0.801713378
Tmem132e,-0.29950428,0.81253154
Zfp830,0.197527319,1.146731251
Ap2b1,-0.356641322,0.780980633
Ccl9,0.542451203,1.456444981
Synrg,-0.307290405,0.808158175
Dusp14,0.360507548,1.283877493
Acaca,-0.194043517,0.874152252
Lhx1,-0.822144032,0.565600762
1500016L03Rik,-0.614574313,0.653122578
Ggnbp2,-0.142963901,0.905656644
Car4,0.441999465,1.358485781
Usp32,-0.302246124,0.810988789
Appbp2,-0.131014138,0.913189301
4632419I22Rik,0.177005336,1.130534748
Med13,-0.261082858,0.834461354
Cltc,-0.357793957,0.780356921
Ska2,0.165721074,1.121726588
Trim37,-0.214283288,0.861974271
Mtmr4,-0.202094734,0.869287477
Dynll2,-0.389182746,0.763562022
Scpep1,0.196399182,1.145834897
Dgke,-0.124309041,0.917443335
Nog,-0.749830484,0.594673427
Hlf,-0.272185296,0.8280643
Mbtd1,-0.182995632,0.880872041
Tob1,-0.235931784,0.849136396
Cacna1g,-1.341338396,0.394654363
Rsad1,0.258852333,1.196526486
Acsf2,-0.512520373,0.700996734
Itga3,-0.217518359,0.860043562
Fam117a,-1.174282193,0.443104169
Spop,-0.20968242,0.864727563
Ngfr,0.536787689,1.450738697
Phb,0.200598031,1.149174616
Zfp652,-0.207220346,0.866204549
Ttll6,1.029402256,2.041178366
Hoxb6,2.567679405,5.928550454
Hoxb3,1.982347488,3.951355057
Hoxb2,1.807439804,3.500205931
Nfe2l1,-0.136326656,0.909832796
Sp2,-0.450500011,0.731789179
Npepps,-0.342132777,0.788874234
Srcin1,-0.431551874,0.741463781
E130012A19Rik,-0.6230762,0.649285006
Cwc25,0.179911569,1.132814446
Rpl23,0.200507998,1.149102903
Plxdc1,-1.051351309,0.482516001
Arl5c,0.722712278,1.650281663
Stac2,-0.432358831,0.741049166
Med1,-0.132855892,0.912024261
Ppp1r1b,-0.654525936,0.635284209
Ormdl3,0.190639392,1.141269406
Wipf2,-0.418390691,0.748258833
Rara,-0.407468796,0.753945008
Top2a,0.470231801,1.385332035
Smarce1,0.163456067,1.119966879
Eif1,-0.486465573,0.713771611
Jup,-0.408902049,0.753196369
Nt5c3b,0.158300474,1.115971725
Klhl11,-0.118637547,0.921057068
Ttc25,0.538808107,1.452771804
Zfp385c,-0.917708933,0.529348984
Kat2a,-0.183941692,0.880294591
Rab5c,0.191339359,1.141823262
Atp6v0a1,-0.294267178,0.815486457
Naglu,0.238095477,1.179434644
Mlx,0.165587544,1.121622771
Cntnap1,-0.428920954,0.742817158
Ramp2,0.157658845,1.115475514
Vps25,0.150322065,1.109817198
Psme3,0.11699567,1.084474154
Ifi35,0.453581899,1.369436053
Rnd2,0.330801636,1.25771203
Brca1,0.289878011,1.2225369
Lsm12,0.162398145,1.119145912
Asb16,1.012517214,2.017428039
Slc4a1,0.752283275,1.68445662
Rundc3a,0.21992968,1.164676816
Slc25a39,0.207567528,1.15473958
Gfap,0.794227242,1.734148256
Plcd3,-0.473118126,0.720405886
Fmnl1,-0.607465386,0.656348803
Plekhm1,-0.284137964,0.821232163
Gosr2,0.135685548,1.098614736
Wnt3,-0.509980083,0.702232133
Crhr1,-0.231420904,0.851795549
Mapt,-0.162856594,0.893254639
Kansl1,-0.117456913,0.921811127
Mettl2,0.205443248,1.153040548
Dcaf7,-0.175761044,0.885300386
Limd2,0.400047749,1.319551584
Strada,0.209532306,1.156313268
Ftsj3,0.147481665,1.107634323
Psmc5,0.167864591,1.123394458
Pecam1,0.22484456,1.168651328
Bptf,-0.214903012,0.861604081
Helz,-0.381530523,0.767622804
Gm11650,0.883040309,1.844257764
Cacng5,-0.322839797,0.799494605
Prkca,-0.246805817,0.842760255
Gna13,-0.150767475,0.900771149
Wipi1,-0.218563497,0.859420743
Abca8b,0.275672108,1.21055792
Map2k6,-0.185973629,0.879055629
Kcnj2,0.42486015,1.342442364
Sox9,-0.661165893,0.632367052
2610035D17Rik,0.326747984,1.254183099
Cdc42ep4,-0.172396675,0.887367319
Sdk2,-0.288532287,0.818734567
Rpl38,-0.511829436,0.701332536
Kif19a,0.397890538,1.317579979
Slc9a3r1,0.233706042,1.175851639
Ict1,0.167028233,1.122743394
Mrps7,0.158333063,1.115996934
Mif4gd,0.271109402,1.206735425
Grb2,-0.150513858,0.900929513
2310067B10Rik,-0.53521663,0.690055053
Sap30bp,0.214428231,1.160243995
H3f3b,0.209211215,1.156055945
Mrpl38,0.264514297,1.201231571
Ten1,0.220786124,1.165368423
Rnf157,-0.355639279,0.781523262
Ube2o,-0.224578336,0.855845132
Cygb,0.343282282,1.268639601
Mxra7,1.000359774,2.000498814
Jmjd6,0.240799293,1.181647145
Srsf2,0.114090174,1.08229229
Socs3,0.607099533,1.523193823
Timp2,0.369406432,1.291821227
Lgals3bp,0.456997216,1.372681782
Rbfox3,-0.258744299,0.835815084
Cbx8,0.185363591,1.137103512
Eif4a3,0.249128029,1.18848857
Nptx1,-0.636835456,0.643122088
Rptor,-0.38828063,0.764039626
Chmp6,0.234154522,1.176217224
Baiap2,-0.403064132,0.75625038
2900052L18Rik,0.299415678,1.230645875
Bahcc1,-0.579765618,0.669072467
2310003H01Rik,-0.743185997,0.597418576
Arl16,0.188543022,1.13961224
Slc25a10,0.253734618,1.192289532
P4hb,0.116478391,1.084085385
Notum,-0.839896142,0.558683786
Fasn,-0.406547785,0.754426478
Hexdc,0.262854159,1.199850084
Foxk2,-0.409601778,0.752831146
Metrnl,0.329853833,1.256886026
Kif3c,-0.349889189,0.784644363
1110002L01Rik,0.226941586,1.170351253
Dtnb,-0.109607264,0.926840335
Dnmt3a,-0.236314103,0.848911402
Efr3b,-0.230869904,0.852120932
Ncoa1,-0.345934927,0.786797933
Fkbp1b,0.300141662,1.231265309
Ubxn2a,0.195001259,1.14472516
Klhl29,-0.529757738,0.69267104
Pum2,-0.35353592,0.782663505
Sdc1,0.51007694,1.424126143
Laptm4a,0.157687008,1.11549729
Kcns3,0.743244827,1.67393653
Mycn,-0.438147217,0.738081883
Nbas,-0.219624549,0.858788901
Fam84a,-0.285422295,0.820501402
Trib2,-0.130109102,0.913762346
Hpcal1,-0.7534796,0.593171176
Itgb1bp1,-0.439985216,0.737142163
Klf11,0.493023008,1.40739082
Id2,-0.507317185,0.703529495
Cmpk2,0.260457128,1.197858194
Lamb1,-0.300576895,0.811927663
Ccdc71l,0.153940663,1.112604359
Sypl,-0.223459035,0.856509388
Hdac9,-0.229968205,0.852653683
Snx13,-0.174055874,0.886347371
Ahr,-0.234476492,0.849993379
Tspan13,-0.130164877,0.91372702
Bzw2,-0.158686683,0.895840203
Dgkb,-0.232120737,0.851382454
Etv1,-0.385855198,0.765325196
Dock4,-0.522808671,0.696015495
Nrcam,-0.18018876,0.882587512
Nova1,-0.331408173,0.794760362
Prkd1,-0.340344042,0.789852932
Coch,1.086646676,2.123798179
Strn3,-0.438668549,0.737815218
Hectd1,-0.12009754,0.920125439
Heatr5a,-0.443625838,0.735284339
Arhgap5,-0.552952588,0.681623704
Akap6,-0.280468315,0.823323714
Nfkbia,0.258679569,1.19638321
Ralgapa1,-0.091384642,0.938621465
Clec14a,0.519230783,1.433190895
Fam179b,-0.184002563,0.88025745
Fancm,-0.155398056,0.897884602
Mis18bp1,0.851913452,1.804893175
Mdga2,-0.328705758,0.79625048
Mdga2,-0.336299926,0.792070128
Sos2,-0.137954041,0.908807067
Gm3086,-0.401860923,0.756881357
Trim9,-0.892906845,0.53852796
Arid4a,0.213329703,1.159360873
Daam1,0.099903554,1.071701815
Rtn1,-0.259410322,0.835429318
Pcnxl4,-0.15919885,0.895522229
Dhrs7,0.275932908,1.210776776
4930447C04Rik,0.788989305,1.727863566
Syt16,0.337917536,1.263930851
1700086L19Rik,0.593112111,1.508497297
Dbpht2,0.682260454,1.604651999
Kcnh5,0.691358328,1.614803174
Ppp2r5e,-0.487909198,0.713057737
Akap5,0.22250095,1.166754434
Hspa2,0.297654986,1.229144888
Sptb,-0.402775139,0.756401884
Max,0.127742499,1.092582711
Fut8,-0.254388988,0.838342115
Rdh11,-0.459337324,0.727320263
NA,0.221908927,1.166275744
Slc39a9,-0.171149239,0.888134918
Plekhd1,-0.627708256,0.647203692
Srsf5,0.172271818,1.126831515
Map3k9,-0.391920656,0.762114328
Pcnx,-0.401113749,0.757273449
Numb,-0.170162529,0.888742553
Acot2,0.325080812,1.252734608
Ptgr2,0.211213022,1.15766114
Fam161b,0.204891503,1.152599663
Rnf113a2,0.221001476,1.165542391
Npc2,0.156345308,1.114460364
Ylpm1,-0.32873705,0.796233209
Rps6kl1,0.380070776,1.301405698
Pgf,0.47193101,1.386964643
Eif2b2,0.205424935,1.153025912
Tmed10,-0.21828261,0.859588085
Ttll5,-0.614228427,0.653279183
Irf2bpl,-0.558235049,0.679132486
Gstz1,0.200421438,1.14903396
Tmed8,-0.27655834,0.825558103
Vipas39,0.15995416,1.117251638
Nrxn3,-0.399525374,0.758107649
Gtf2a1,-0.21373722,0.862300595
Sel1l,-0.256751537,0.836970374
Galc,-0.204800308,0.867658777
Kcnk10,-0.203947574,0.868171776
Eml5,-0.244371772,0.84418332
Foxn3,-0.157288566,0.896708783
Psmc1,0.128237396,1.092957571
Smek1,-0.12102785,0.919532295
Lgmn,0.22209838,1.166428908
Chga,0.320812851,1.249034088
Unc79,-0.243475571,0.844707888
Ppp4r4,-0.709665239,0.611462005
Serpina3n,0.503288627,1.417440942
Dicer1,-0.213204578,0.862619014
Clmn,-1.350377202,0.392189495
Atg2b,-0.409507215,0.752880493
Gskip,-0.389369458,0.76346321
Ak7,0.500312448,1.414519875
Setd3,0.130846336,1.094935841
Ccnk,-0.253534377,0.838838872
Eml1,-0.243964389,0.844421731
Yy1,-0.191717327,0.875562866
Slc25a29,-0.281130761,0.822945753
Slc25a47,-0.752106309,0.59373608
Wdr25,0.390938967,1.311246541
Meg3,0.414698839,1.333020382
Ppp2r5c,0.120178789,1.086869547
Dync1h1,-0.410388619,0.752420667
Zfp839,-0.256317139,0.837222426
Rcor1,-0.260150462,0.83500083
Eif5,-0.176393643,0.884912281
Ckb,-0.302735925,0.810713502
Apopt1,0.214396521,1.160218494
Klc1,0.193764344,1.143744134
Xrcc3,0.798525691,1.739322781
Ppp1r13b,-0.217683464,0.859945143
Tmem179,0.684481084,1.607123819
Cep170b,-0.432633489,0.7409081
Pacs2,-0.224638805,0.855809261
Ighm,0.713623822,1.639918163
Esyt2,-0.251188904,0.84020373
Ncapg2,-0.303004503,0.81056259
Ptprn2,-0.237393841,0.848276299
Dnah11,-0.417926341,0.748499708
Itgb8,-0.296918988,0.813988892
BC016423,-0.131417215,0.912934199
Net1,0.389667749,1.310091657
Pitrm1,0.092481241,1.06620233
Dip2c,-0.214905486,0.861602604
Zmynd11,0.100129209,1.071869456
Ryr2,-0.230784282,0.852171506
Heatr1,-0.158698663,0.895832764
Lgals8,0.255899966,1.194080389
Nid1,-0.182503581,0.881172526
Gng4,0.660341144,1.580456299
B3galnt2,-0.234670579,0.849879036
Hecw1,-0.098169893,0.934217326
Gli3,-0.368057072,0.774825279
Sfrp4,0.703173816,1.62808251
Elmo1,-0.473996073,0.719967619
Zscan26,0.115873247,1.083630757
Hist1h3h,-1.177329183,0.442169315
Hist1h4k,0.572563231,1.487163463
Hist1h4h,0.238607749,1.179853512
Hist1h1d,0.352281988,1.276578263
Hist1h4d,0.421754092,1.339555255
Hist1h1e,0.261237323,1.198506159
Hist1h2bc,0.228496894,1.17161364
Fam65b,-0.581038356,0.668482475
BC005537,-0.487163484,0.713426404
Aldh5a1,-0.179827318,0.882808657
Sox4,0.232775554,1.1750935
NA,0.435224146,1.35212089
Cdkal1,-0.185635403,0.879261739
Uqcrfs1,-0.143447831,0.905352906
Serpinb6b,0.423287839,1.34098011
Nqo2,-0.179135397,0.883232156
Tubb2b,-0.285933733,0.820210585
Slc22a23,-0.239836231,0.846841437
Prpf4b,0.145388857,1.106028726
Eci2,0.178763479,1.131913317
Rpp40,0.303103477,1.23379566
Ly86,0.584984481,1.500022854
Txndc5,0.184661955,1.136550631
Gcnt2,0.516850889,1.430828628
Tmem14c,0.151192456,1.110486963
Elovl2,-0.29168427,0.816947758
Smim13,-0.489929467,0.712059909
Nedd9,0.282548189,1.216341376
Tmem170b,-0.29592365,0.814550669
Hivep1,-0.422223657,0.74627349
Gfod1,-0.545492887,0.685157283
Nol7,0.136248872,1.099043791
Ranbp9,-0.350333601,0.784402696
Rnf182,-0.429090172,0.742730036
Cd83,0.218706697,1.16368993
Mylip,0.253561914,1.192146812
Atxn1,-0.336528331,0.791944739
Cap2,-0.281328708,0.822832847
Dek,-0.169134915,0.889375819
Phf2,-0.362343013,0.777900202
Fam120a,-0.165859565,0.891397262
NA,0.25443691,1.19287007
Wnk2,-0.734291315,0.601113233
Ninj1,0.22388196,1.167871836
Fgd3,-0.630548656,0.645930722
Ecm2,0.250846326,1.189904943
Spin1,-0.107636347,0.92810739
Shc3,-0.269017905,0.829884286
Gm15440,-0.361189395,0.778522481
