,Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
293,Zfp294,-0.857259828,0.552
294,Nup88,-0.19759996,0.872
295,1300001I01Rik,-0.194294815,0.8740000000000001
296,1200015F23Rik,-0.320125852,0.8009999999999999
297,1600012H06Rik,-0.184424571,0.88
298,G6pc3,-0.44222232899999997,0.736
299,Pdrg1,-0.217591435,0.86
300,Foxk2,-0.263611599,0.833
301,2810025M15Rik,-0.5458241070000001,0.685
302,2310015N07Rik,-0.265344567,0.8320000000000001
303,Chn2,-0.336427665,0.792
304,Vps25,-0.16326792,0.893
305,B930013M22Rik,-0.265344567,0.8320000000000001
306,4921526G09Rik,-0.20756107,0.866
307,Stx17,-0.28103566399999996,0.823
308,Zfp278,-0.139235797,0.9079999999999999
309,Pqlc1,-0.268816758,0.83
310,Ctnnb1,-0.204233052,0.868
311,2610002J02Rik,-0.304006187,0.81
312,Fgfr1op2,-0.258425153,0.836
313,Arid4b,-0.40354186,0.7559999999999999
314,Dtnbp1,-0.232768963,0.851
315,Sdccag3,-0.267079618,0.831
316,Prdm5,-0.23446525399999998,0.85
317,Rutbc3,-0.40354186,0.7559999999999999
318,Hbp1,-0.22263289100000003,0.857
319,Aatf,-0.204233052,0.868
320,Sf3a3,-0.15842936300000002,0.8959999999999999
321,Pi4k2a,-0.291592017,0.8170000000000001
322,5730472N09Rik,-0.36215794,0.778
323,Inpp5a,-0.345564459,0.787
324,Sec23ip,-0.284545873,0.821
325,Cdw92,-0.23107466399999999,0.852
326,Sesn1,-0.199255376,0.871
327,D330001F17Rik,-0.251538767,0.84
328,Dnajc11,-0.224317298,0.856
329,Pib5pa,-0.343732465,0.7879999999999999
330,6430596G11Rik,-0.21926996399999998,0.8590000000000001
331,Cerk,-0.314732593,0.804
332,Tceb3,-0.270555993,0.8290000000000001
333,2400001E08Rik,-0.192645078,0.875
334,Wdr42a,-0.16326792,0.893
335,B3galnt2,-0.22263289100000003,0.857
336,BC060631,-0.320125852,0.8009999999999999
337,Ppp2r5c,-0.224317298,0.856
338,Gna11,-0.16165326300000002,0.894
339,D11Wsu99e,-0.614845103,0.653
340,A830073O21Rik,-0.37145968100000004,0.773
341,Fntb,-0.261880711,0.8340000000000001
342,Tjp2,-0.284545873,0.821
343,Rnf123,-0.26015189699999997,0.835
344,Sbno1,-0.192645078,0.875
345,Tbl1x,-0.639354798,0.642
346,Ccm2,-0.428565884,0.743
347,Extl3,-0.187707155,0.878
348,C130076O07Rik,-0.210896782,0.8640000000000001
349,Slc2a1,-0.336427665,0.792
350,Lta4h,-0.20589610100000003,0.867
351,Atp6v0a2,-0.340075442,0.79
352,Baz1b,-0.251538767,0.84
353,Foxo3a,-0.22263289100000003,0.857
354,Nptx1,-0.268816758,0.83
355,Kctd12,-0.36587144200000005,0.7759999999999999
356,Tpcn1,-0.19759996,0.872
357,Adarb1,-0.16165326300000002,0.894
358,BC046331,-0.37332724700000003,0.772
359,A930001N09Rik,-0.452056689,0.731
360,Id2,-0.217591435,0.86
361,Cox6b2,-0.321928095,0.8
362,Adora1,-0.21926996399999998,0.8590000000000001
363,Cdk2ap1,-0.258425153,0.836
364,Camsap1,-0.232768963,0.851
