gene,82QvsWT_baseMean,82QvsWT_log2FoldChange,82QvsWT_lfcSE,82QvsWT_stat,82QvsWT_pvalue,82QvsWT_padj,591vsWT_baseMean,591vsWT_log2FoldChange,591vsWT_lfcSE,591vsWT_stat,591vsWT_pvalue,591vsWT_padj,591vs82Q_baseMean,591vs82Q_log2FoldChange,591vs82Q_lfcSE,591vs82Q_stat,591vs82Q_pvalue,591vs82Q_padj
Kcnd2,11729.2635090039,-0.429271082338337,0.0710085455732924,-6.04534396349886,1.49091581523699e-09,3.02565188864857e-08,11729.2635090039,-0.0806031808514281,0.0709571226652827,-1.13594207070159,0.255980809458345,0.710168342976077,11729.2635090039,0.348667901486909,0.0710171376667667,4.90963044896235,9.12481842619001e-07,1.58995830122345e-05
Kcnh1,3003.02568920883,-0.430663027300587,0.0871048126635658,-4.94419325558947,7.64598270174503e-07,9.57155738215617e-06,3003.02568920883,-0.0378691904581475,0.0869160016514003,-0.435698717596697,0.663055336298967,0.919605729680206,3003.02568920883,0.392793836842439,0.0871100615644625,4.5091672510387,6.50825864864345e-06,8.67716749683954e-05
Kcnh3,128.158749154413,-1.74032655518905,0.184112147092367,-9.4525352220022,3.30721610599155e-21,2.28352937068386e-19,128.158749154413,-0.5323446657123,0.173539202302611,-3.06757584827443,0.00215802686469891,0.06556502456659,128.158749154413,1.20798188947675,0.186614562625801,6.47313839005686,9.59879615200284e-11,4.34076107970468e-09
Kcnj11,1997.87715173106,-0.206449631920127,0.0432523165141983,-4.77314623951658,1.81369993594566e-06,2.08853160050654e-05,1997.87715173106,0.0461541459472099,0.0429409152934023,1.07482911418754,0.282451243082734,0.732988592545209,1997.87715173106,0.252603777867336,0.0431331447447167,5.85637285114199,4.73085472843623e-09,1.47903256130894e-07
Kcnj12,4589.10569654484,-0.411048584816489,0.0553692090959931,-7.42377562417151,1.13827929289571e-13,3.83973755366881e-12,4589.10569654484,0.0105077586744839,0.0551591001459406,0.190499095284048,0.848918052064595,0.967959975547121,4589.10569654484,0.421556343490972,0.0553490075075354,7.61633067103472,2.60988574539281e-14,2.39170482064569e-12
Kcnj2,213.995282258541,0.561390662516464,0.126501224320186,4.43782789876825,9.08712284742516e-06,8.88898635589857e-05,213.995282258541,-0.100461354684699,0.130189888878696,-0.771652511189277,0.440320264216957,0.826291199797818,213.995282258541,-0.661852017201163,0.126965288842987,-5.21285796482255,1.85953273557001e-07,3.93533425376534e-06
Kcnj3,7407.75540481403,-0.381108383021071,0.115584998325245,-3.29721320710381,0.00097649344053467,0.00515700569312543,7407.75540481403,0.0241543914187872,0.115525939772673,0.209081972986476,0.834384247175699,0.962903179522727,7407.75540481403,0.405262774439858,0.115576818594012,3.50643649280075,0.000454149796278507,0.00317599889089194
Kcnj6,562.814349824402,-0.480166198364274,0.123217589549546,-3.89689653984992,9.74332169513297e-05,0.000709905005289243,562.814349824402,0.200250431770955,0.121879142299902,1.6430246225249,0.100377838943846,0.525123690328245,562.814349824402,0.68041663013523,0.122786543226896,5.54145928579402,2.99961323340057e-08,7.75422406007431e-07
Kcnj9,7458.50377022121,-0.33701527407699,0.0597358041219343,-5.64176341192403,1.68317282849471e-08,2.91683950161495e-07,7458.50377022121,-0.0551417445983175,0.0596637393778344,-0.924208659620204,0.35537768786857,0.784295450735975,7458.50377022121,0.281873529478672,0.0597442704735642,4.71800102745244,2.38173291792108e-06,3.66681014563494e-05
Kcnk10,890.172675789516,-0.611265411046591,0.076985033652316,-7.94005512561339,2.02091417136383e-15,8.38537063216597e-14,890.172675789516,0.00498667623312844,0.0757248546948323,0.0658525691891324,0.947495202869208,0.99161718171043,890.172675789516,0.616252087279719,0.0769233017688567,8.01125371778068,1.13544928004771e-15,1.260639841694e-13
Kcnk12,961.483562809011,-0.596361215950005,0.0872443558683118,-6.83552775437031,8.17036780281869e-12,2.21502179881324e-10,961.483562809011,0.192333242947009,0.0859080780141408,2.23882604980815,0.0251672366197234,0.295067036647853,961.483562809011,0.788694458897015,0.0869069163913266,9.07516330858711,1.1350715607017e-19,2.22906239502513e-17
Kcnk3,3623.401315864,-0.408335697907171,0.0559637317223094,-7.29643441100966,2.95493791371249e-13,9.4966331932331e-12,3623.401315864,0.01657677202195,0.0556981288990184,0.297618113025016,0.765994648526038,0.946331214650232,3623.401315864,0.424912469929121,0.0559343978217968,7.59662187269565,3.03961033909494e-14,2.74198182672523e-12
Kcnk6,73.2336923081256,0.69582202108417,0.159975083018969,4.34956499445394,1.36407851341212e-05,0.000126635776276642,73.2336923081256,-0.0342239319890208,0.169052101123424,-0.202446061075775,0.839568022265558,0.963468025852394,73.2336923081256,-0.730045953073191,0.16007921498381,-4.56052931760706,5.10248375060951e-06,7.0880359695699e-05
Kcnma1,3845.88049872043,-0.835471101619376,0.0966630040156904,-8.64313198339835,5.46926792715783e-18,2.90314654295621e-16,3845.88049872043,-0.168391062986322,0.0963956925900641,-1.74687331416797,0.0806593157387859,0.484725630413161,3845.88049872043,0.667080038633055,0.0967111061753389,6.89765700149916,5.28672021887328e-12,3.15744807554777e-10
Kcnn2,1919.73632055231,0.29391821883512,0.0586575241169389,5.01075050916177,5.42181689398746e-07,7.08322508633572e-06,1919.73632055231,0.0456622533142692,0.0590412752962617,0.773395443867731,0.43928838554911,0.826135870275447,1919.73632055231,-0.248255965520851,0.0585553916519432,-4.23967731266319,2.23841325060862e-05,0.000248203056981699
Kcnq2,9324.94720035763,-0.191656402831305,0.0521296960501381,-3.67653021891726,0.000236427859593093,0.0015353660635553,9324.94720035763,0.0445420291264399,0.052079308878465,0.855273045776884,0.392400005888157,0.805818022014335,9324.94720035763,0.236198431957744,0.0521088897074798,4.53278573547961,5.82108543124271e-06,7.90754507208813e-05
Kcns1,76.7361734243474,0.631322605722228,0.180720724076037,3.49336031575771,0.00047698244966178,0.00282355719364421,76.7361734243474,0.029749791557892,0.187144547197889,0.15896691623312,0.873694939355036,0.974022884531329,76.7361734243474,-0.601572814164336,0.180007255522479,-3.34193648149484,0.000831960967656035,0.00523793673566068
Kcns3,85.7314924744645,1.08662017963143,0.165633893472204,6.5603733442019,5.36732262683401e-11,1.31951035816298e-09,85.7314924744645,0.325714927296373,0.172975232965919,1.88301482074343,0.0596983594815518,0.424321270111574,85.7314924744645,-0.760905252335053,0.16080230517317,-4.7319300025931,2.22395108956622e-06,3.44841834120742e-05
Kcnv2,15.6976276818503,-2.36807231192858,0.399311150321073,-5.93039365423301,3.02209264335812e-09,5.83171501790372e-08,15.6976276818503,-0.685307205285429,0.325308588531955,-2.10663729592283,0.0351490312879082,,15.6976276818503,1.68276510664315,0.411075189813648,4.09357010187356,4.24781569528497e-05,0.000431508315790825
Orai2,2430.25789962276,-0.478524669545091,0.066047287106098,-7.24518281540303,4.31856296154519e-13,1.35827257843902e-11,2430.25789962276,-0.166104419378077,0.0658109167177552,-2.52396452841483,0.0116039636744959,0.192497671822399,2430.25789962276,0.312420250167015,0.0661638219916722,4.72191963466588,2.33629002923679e-06,3.61290565235547e-05
Orai3,1041.35593631487,-0.269916160633665,0.0488054443250781,-5.53045186589915,3.19406936037276e-08,5.2470604102183e-07,1041.35593631487,-0.10845870675279,0.0485316562388011,-2.23480332546486,0.0254302634445876,0.29667239568909,1041.35593631487,0.161457453880875,0.0490280309144174,3.29316619226893,0.000990658985525153,0.00604162451735762
Pkd2l1,165.688830848565,0.64492789892293,0.118085852549779,5.46151706573878,4.72082856217446e-08,7.51083399324894e-07,165.688830848565,0.0794561515855283,0.122355615245602,0.649387046324254,0.516088234661479,0.863405436467124,165.688830848565,-0.565471747337402,0.117141573182103,-4.82725075288468,1.38430777267372e-06,2.28562541684546e-05
Ryr1,2461.516857837,-0.301378951986009,0.0741485821301401,-4.06452751122133,4.81298619525711e-05,0.000385649791420511,2461.516857837,-0.0439692364144533,0.0739937550866925,-0.59422901788047,0.552358946912796,0.880630098782587,2461.516857837,0.257409715571556,0.0741609315192066,3.47096119612373,0.000518598935294282,0.00355208549178124
Ryr2,9267.18710676457,-0.381363300167609,0.0610688280007264,-6.2448111852265,4.24312368175318e-10,9.32853907943648e-09,9267.18710676457,0.00412666534022438,0.0609845384184411,0.0676674030376283,0.946050398420406,0.99161718171043,9267.18710676457,0.385489965507834,0.0610612220580507,6.31317147798565,2.73374294541964e-10,1.12734351939686e-08
Scn1a,10989.1318073781,-0.311662288863935,0.0540757863707336,-5.7634351672158,8.24189221300796e-09,1.48354059834143e-07,10989.1318073781,-0.0767708495954829,0.0540336603294765,-1.42079676126629,0.155375852526722,0.603171113393184,10989.1318073781,0.234891439268452,0.0540872151079667,4.34282739090137,1.40660646662643e-05,0.000167136871333105
Scn3a,173.337779962609,0.5642998767893,0.136310767595427,4.13980411631277,3.47602507836914e-05,0.000290369656357528,173.337779962609,-0.0112274642970773,0.139981502226213,-0.080206771027028,0.93607280501358,0.98860856793369,173.337779962609,-0.575527341086378,0.136193444037795,-4.22580796860282,2.38084963850834e-05,0.000261817877707711
Scn8a,15963.9795869043,-0.211953255174902,0.0486122673495921,-4.36007754278675,1.30016362598976e-05,0.000121083731575316,15963.9795869043,0.0293383316425204,0.0485796091759945,0.603922759778354,0.545894996247052,0.879330873183525,15963.9795869043,0.241291586817423,0.048602006027363,4.96464254338751,6.88277194271995e-07,1.24435918630386e-05
Trpm6,53.2526248170701,0.673075498490347,0.216684636995396,3.10624466885785,0.00189479866208979,0.00907760903772905,53.2526248170701,-0.0228492759619412,0.225554322474217,-0.101302762506594,0.919310123314442,0.98548890529006,53.2526248170701,-0.695924774452288,0.216614450266657,-3.21273476259589,0.00131477647680049,0.00762878679336164
