Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
Astn1,0.287585795,1.220596023
Cntnap4,-0.291128814,0.817262354
Dagla,-0.448369771,0.732870515
Dnajb1,0.433505565,1.350511163
Angptl4,0.773053229,1.708882531
Txnip,0.578873813,1.493682805
Sparcl1,-0.218048379,0.859727656
Dnah12,0.851252079,1.80406595
Hps3,-0.289401501,0.818241434
Spred2,-0.245202631,0.843697288
Med21,0.333817869,1.260344272
Doc2b,-0.450615793,0.731730453
Gpr85,0.206589103,1.15395671
Gprasp1,0.220380679,1.165040961
Ahsa2,0.380159676,1.301485895
Cnnm1,-0.246332109,0.84303702
Zfpm2,0.247302145,1.186985363
Jazf1,0.434980482,1.351892543
Zc3hav1,0.515064359,1.429057889
Tram1l1,0.316760927,1.245530998
Rdh11,-0.268489599,0.83018824
Tab3,-0.34241119,0.788722011
Prpf6,-0.232526004,0.851143326
Iqub,-0.389462769,0.763413832
Stip1,0.285634071,1.218945878
Adamtsl1,0.722447574,1.649978899
Nr1d1,-0.406888276,0.754248446
Irgm2,0.661232352,1.581432909
Gja1,-0.336312026,0.792063485
Cope,0.21612592,1.161610114
2310022B05Rik,-0.315894932,0.803352501
Mobp,-0.375677079,0.770743606
Dlg1,-0.200617,0.870178333
Pacsin1,-0.184509367,0.879948279
Abca1,0.422238171,1.340004802
Lrp8,-0.226292178,0.854829038
Desi1,-0.254054159,0.838536705
Spock2,-0.161419868,0.89414464
6430548M08Rik,-0.254967511,0.838006006
Slc9a9,0.525050342,1.438983792
Galr1,-0.880503953,0.543177659
Kcnk10,-0.31258586,0.805197244
Dlgap3,-0.256012022,0.837399509
Ccdc51,0.460858792,1.37636088
Gfap,-0.300441355,0.812003947
Zfand2a,0.238682106,1.179914324
Nyap2,0.302965462,1.233677635
Zeb2,-0.217113703,0.860284826
Mum1l1,0.509332001,1.423390982
NA,0.527437747,1.441367026
Gabra4,-0.275853068,0.825961781
Plxna1,0.273564577,1.208790793
Eif3j2,0.854403734,1.80801135
Sept6,-0.248296693,0.8418898
Ppid,0.249617457,1.188891829
Erp29,-0.185724497,0.879207442
AK129341,-0.324629247,0.798503564
4930452B06Rik,0.68168366,1.604010582
Agbl2,-0.606523037,0.656777661
Chst15,-0.300814152,0.81179415
Gpt2,0.254884601,1.193240293
Tst,-0.333305299,0.793715949
AI464131,0.283658832,1.217278123
Fgf1,-0.435612231,0.73937992
Dbp,-0.395345628,0.760307207
Lama2,0.513577223,1.427585569
Zfp184,0.67859292,1.600577929
Fam83d,-0.790100992,0.578303608
Trp53i11,-0.432495832,0.740978798
Rassf2,-0.237277836,0.848344511
Atp1a1,-0.306425899,0.808642593
Arhgap20,-0.346933842,0.786253347
Pdk2,-0.220193833,0.858450092
Nin,0.425058067,1.342626541
Rab9b,0.344829053,1.270000489
Kcnq2,-0.382216215,0.767258051
Anp32b,-0.577897966,0.669939181
Lrrtm1,0.482733697,1.397389008
Arhgap18,0.518051386,1.432019746
Dst,0.231554985,1.174099752
Tpx2,0.636218429,1.554249838
Pip5k1c,-0.196060479,0.872930997
Kcnk1,0.166755319,1.122531024
Bsdc1,0.203851193,1.151768837
Ldhd,-0.462079197,0.725939288
Gfod1,-0.352824122,0.783049752
Chrnb2,-0.173001602,0.88699532
Bsg,-0.193691805,0.874365386
Tm7sf3,0.330274403,1.257252483
Cd99l2,0.229535311,1.172457243
Atp2b4,-0.494493008,0.709811076
Mrpl51,0.279387444,1.213679457
Prkcb,-0.213050529,0.862711128
Slc16a10,-0.604349136,0.657768061
Amd1,0.305329651,1.235700958
Grik1,-0.308613002,0.807417632
Grm5,0.486872524,1.401403616
Usp3,-0.22030966,0.858381174
Pfn2,0.153057069,1.111923141
Gatsl2,0.247957781,1.187524914
Phkg1,-0.344025582,0.787839916
Srgap2,-0.238774389,0.847464953
Sdc1,-0.562899292,0.676940392
Agfg2,-0.310267836,0.80649202
Fbxl15,-0.514350414,0.700108091
Bin1,-0.190352395,0.876391626
Lingo3,-0.248380184,0.841841079
Erbb3,-0.544644713,0.685560212
Fads6,-0.282306671,0.822275261
Trib1,-0.487586081,0.713217456
Map3k10,0.224009871,1.167975386
Scd2,-0.239773914,0.846878017
Ndst3,-0.271751195,0.828313499
Rmdn3,-0.193923235,0.874225136
Tubb2b,-0.265850931,0.831708031
NA,-0.500668347,0.706779281
Nrxn2,-0.252020091,0.839719799
Vcam1,0.394478619,1.314467634
Crk,0.163568616,1.120054254
Clic1,0.347128987,1.27202673
Rbm33,-0.20760113,0.865975954
Slc17a7,-0.245967031,0.843250381
Pcdhgc4,-0.220848501,0.858060632
Smg5,0.173248231,1.12759441
Scrt1,-0.236633316,0.848723591
Ifit1,0.84082973,1.791079941
Grm2,-0.556093931,0.680141142
Serpinb2,0.804737151,1.746827503
Samd8,-0.241168261,0.846059915
Tmem33,0.191890642,1.142259659
Ier3,-0.460196167,0.726887415
Plekhd1os,-0.730755568,0.602588244
Dner,-0.266080558,0.831575663
Mapre2,-0.201212004,0.869819523
Gm11398,0.570423126,1.484959029
Lmcd1,-0.745854497,0.596314574
Lect1,-0.748035848,0.59541363
Fam110b,0.263306707,1.200226515
Rhog,-0.495456398,0.709337243
Frmpd1,0.416865349,1.335023696
Tmem125,-0.460033655,0.7269693
Soga1,-0.31903553,0.801605588
Ncam2,0.242669016,1.183179545
Rps14,0.217739791,1.162910276
Zbtb7a,-0.228429407,0.85356362
Mllt6,-0.239074335,0.847288777
Orai2,-0.258577287,0.835911847
Rap1gap2,-0.203683212,0.868330875
Dhrs3,-0.37261647,0.772380438
Igtp,0.601822317,1.517632329
Wapal,-0.187742427,0.877978534
Nrsn2,-0.374477744,0.771384604
AU022252,0.295086205,1.226958289
Fam117a,-0.432344586,0.741056483
Nav3,0.29398635,1.22602326
Tnfsf13,-0.659193218,0.633232313
Maz,-0.271386594,0.828522859
Cyb5r1,0.352190971,1.276497729
St3gal4,-0.287441581,0.819353781
2010300C02Rik,-0.391684771,0.762238946
Gm13157,-0.677315712,0.625327682
Adrb2,0.579617918,1.494453406
Igfbp4,0.613414049,1.529875284
Lgmn,0.193352222,1.143417458
Fam84b,-0.538193107,0.688632843
Cand2,-0.640215218,0.641617227
Foxp4,-0.341520727,0.789208978
Pcdh15,0.560159683,1.474432404
Gbp6,0.721393704,1.648774051
Adamts6,0.35110265,1.275535145
Arhgef37,-0.469034851,0.722447747
Trappc5,-0.247370735,0.842430319
Zfp385a,-0.324212939,0.798734016
Rab11a,0.169563383,1.124718049
Wrb,0.182692781,1.13500038
Ccdc107,-0.302572846,0.810805148
Elmo3,-0.626728833,0.647643218
Cyp2j6,0.33546716,1.261785922
Ppp1r1a,-0.436527997,0.73891074
Amotl2,-0.349132299,0.785056123
Pacsin3,-0.261876374,0.834002507
Sept4,-0.218433037,0.859498462
Zfp54,0.623227119,1.540316817
Padi2,-0.511533201,0.701476559
Fbxo4,0.472252429,1.387273679
Sirpa,-0.207872808,0.865812895
Nck1,-0.244039699,0.844377652
Pcca,-0.244118899,0.844331299
Arl5a,-0.181387737,0.881854327
2210015D19Rik,0.323939353,1.251743838
Mif,-0.275781989,0.826002476
Grin2c,-0.225088075,0.855542794
Paip2,0.180814579,1.133523718
Gtf2ird1,-0.344921678,0.787350719
Syt9,-0.235036746,0.849663358
Hspa14,-0.18909055,0.877158493
1700084C01Rik,-0.310573041,0.806321423
Tbkbp1,-0.197281495,0.872192509
Hmgcll1,0.296380967,1.22805993
Slc9a3,-0.564612925,0.6761368
St8sia5,-0.248857945,0.841562343
Cited4,-0.70631361,0.612884188
Samd9l,0.476816297,1.391669174
Dnah5,0.655818105,1.575509119
Gm14569,-0.736651301,0.600130725
Tmem150a,0.658456206,1.578392719
0610043K17Rik,-0.711436331,0.610711818
Gria2,0.200222656,1.148875651
Sebox,-0.398420721,0.758688344
Tspan14,-0.321799129,0.800071517
Ywhab,0.166827142,1.12258691
1500009L16Rik,-0.479656398,0.717148404
Rufy3,0.161935508,1.118787088
Fah,0.298130393,1.229549991
NA,-0.269960791,0.829342085
B930041F14Rik,-0.269960791,0.829342085
Cdc23,0.210962981,1.157460517
Necab2,-0.7316643,0.602208802
Ppp2r2d,0.19502528,1.14474422
Pcbp4,-0.257445693,0.836567761
Frem2,0.543418527,1.457421851
Mgat5,-0.375722408,0.77071939
Ylpm1,-0.225894779,0.855064539
Lfng,0.336389154,1.262592559
AW011738,-0.734427273,0.601056587
Tbl1xr1,-0.17645587,0.884874113
NA,-0.432467431,0.740993385
Tceal1,0.255055964,1.193382035
Snx16,0.221010834,1.165549951
Prom2,-0.774869978,0.584441294
Pcdh19,0.502186835,1.416358851
Scg2,-0.30900234,0.807199765
Lyz2,0.416781694,1.334946286
Hes6,-0.437552363,0.738386273
Nbas,-0.16995123,0.888872729
Emp2,-0.3754116,0.770885448
NA,-0.348824471,0.785223649
Adck3,-0.317299753,0.802570619
Grm3,-0.260764599,0.834645457
Bdh1,0.22800155,1.171211439
Ifi35,0.645092905,1.563839989
Oma1,-0.278400213,0.824504794
Jam3,0.29715994,1.228723192
Wif1,-0.750228763,0.594509281
Rom1,-0.426933438,0.743841199
Csrnp3,0.34847939,1.27321794
Peg10,0.364243388,1.287206386
Ccdc120,-0.301543653,0.811383768
Herc6,0.555376947,1.469552547
Psme1,0.370418519,1.29272779
Bst2,0.743318975,1.674022565
Cyth3,-0.203507707,0.868436515
Hlcs,-0.266982049,0.831056202
Nt5c1a,-0.549500048,0.683256863
Amer1,-0.315903753,0.803347589
Atxn7l3b,0.141328797,1.102920495
Porcn,-0.214591458,0.861790166
Hapln2,-0.349269152,0.784981657
Fth1,-0.239835918,0.846841621
Sel1l3,-0.181893855,0.881545014
Dusp10,-0.312366396,0.805319741
Tceanc2,-0.387762249,0.764314207
Mid1ip1,-0.262371719,0.833716204
Tnfsf12Tnfsf13,-0.514059663,0.700249201
Sema4a,-0.530006051,0.692551829
Aftph,-0.194166839,0.874077533
Inpp4b,0.21124056,1.157683237
Chst11,-0.253456175,0.838884343
Mest,0.41158402,1.330145457
Astn2,-0.243439034,0.844729282
mt-Nd4,-0.254944533,0.838019353
Slc25a22,-0.203384548,0.868510654
Gpr63,-0.326118648,0.797679635
Wipf3,-0.649807692,0.637365268
Rps6ka6,0.420690507,1.338568071
Erbb2ip,-0.270494372,0.82903541
Dhx9,0.219673619,1.164470118
Meis2,0.580668807,1.495542394
Adap1,0.172674537,1.127146106
Fut10,-0.47051844,0.721705203
Mvp,-0.438024282,0.738144779
Slitrk3,0.418496668,1.33653412
Kcnmb4,-0.26672101,0.831206586
Itgb7,-0.69905597,0.615975139
Emilin3,-0.598689377,0.660353584
Ctsf,-0.20288448,0.86881175
Foxj1,0.414685875,1.333008403
Hmgcl,-0.283598483,0.821539312
Efs,-0.486546516,0.713731565
Litaf,-0.4475061,0.733309381
Pdpn,0.330003232,1.25701619
F3,0.347813338,1.272630266
Cdyl2,-0.3883816,0.763986155
Prkacb,0.16950205,1.124670235
Fbxo2,-0.300189376,0.812145783
Pot1a,-0.365318745,0.776297343
Oprl1,0.385414928,1.306235415
Plekho2,-0.271792471,0.8282898
Cars,0.314054787,1.243196879
Ppfibp1,0.32194984,1.25001884
Cox7a2l,0.209479183,1.156270692
Magi2,0.196650252,1.146034322
Inpp5e,-0.235474616,0.849405517
Pla2g5,0.657328367,1.577159279
NA,-0.262678176,0.833539125
Ctnnb1,-0.128911242,0.914521351
Zc3h6,-0.362973332,0.777560409
Pomc,0.772301793,1.707992681
Dip2c,0.171678066,1.126367854
Micu3,-0.236494929,0.848805007
Mef2d,-0.216139644,0.860865858
Cttnbp2,-0.237858802,0.848002955
Mgat4b,-0.27728942,0.82513986
Tmem145,-0.44196853,0.736129488
Igsf8,-0.27206248,0.828134796
Nmral1,-0.371486425,0.77298567
C77370,0.253228873,1.191871641
Fam175a,-0.287099421,0.819548128
Large,-0.205107272,0.867474184
Rgs2,0.306202799,1.236449056
Fgf7,-0.490739495,0.711660223
Tle3,0.29145661,1.223875334
Cycs,0.286648482,1.219803265
