Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
Atp6v0a2,-0.340075442,0.79
Baz1b,-0.251538767,0.84
Foxo3a,-0.222632891,0.857
Nptx1,-0.268816758,0.83
Kctd12,-0.365871442,0.776
Tpcn1,-0.19759996,0.872
Adarb1,-0.161653263,0.894
B230208H17Rik,-0.261880711,0.834
2010111I01Rik,-0.388355457,0.764
Baiap2,-0.556393349,0.68
BC046331,-0.373327247,0.772
A930001N09Rik,-0.452056689,0.731
Id2,-0.217591435,0.86
Ibrdc3,-0.388355457,0.764
Cox6b2,-0.321928095,0.8
Adora1,-0.219269964,0.859
Cdk2ap1,-0.258425153,0.836
Camsap1,-0.232768963,0.851
Uqcrc2,-0.192645078,0.875
Hr,-0.448114897,0.733
Kalrn,-0.595096878,0.662
AI118078,-0.209227962,0.865
LOC435684,-0.30222618,0.811
A930004K21Rik,-0.325539348,0.798
Arpc5l,-0.277533976,0.825
Snapc2,-0.16326792,0.893
D0H4S114,-0.16326792,0.893
Prkwnk1,-0.788364747,0.579
Xab2,-0.209227962,0.865
C230027N18Rik,-0.318325858,0.802
Phc2,-0.275786313,0.826
Atad3a,-0.3382504,0.791
Clu,-0.286304185,0.82
Mmp16,-0.531156057,0.692
Zdhhc14,-0.289827252,0.818
Ppib,-0.224317298,0.856
0610011L14Rik,-0.256700472,0.837
Zfp64,-0.444183845,0.735
Id4,-0.440263476,0.737
Edf1,-0.345564459,0.787
Slc44a2,-0.371459681,0.773
Mrps24,-0.274040765,0.827
Btbd10,-0.205896101,0.867
Commd9,-0.321928095,0.8
Sfrs8,-0.40927823,0.753
Zfp258,-0.236163541,0.849
Eftud2,-0.147202107,0.903
Dhx30,-0.182786076,0.881
Zdhhc14,-0.30222618,0.811
Bcar1,-0.418889825,0.748
Fgf11,-0.420819852,0.747
Dock9,-0.258425153,0.836
Ppgb,-0.251538767,0.84
1110014J01Rik,-0.246395464,0.843
Vcam1,-0.314732593,0.804
Tmem19,-0.282789701,0.822
Ap3m1,-0.284545873,0.821
Stim1,-0.330973234,0.795
Myd116,-0.169744676,0.889
Smarcd2,-0.289827252,0.818
Tmed4,-0.174621396,0.886
Deaf1,-0.30222618,0.811
Vars2,-0.375197235,0.771
3110001A13Rik,-0.573466862,0.672
2310028N02Rik,-0.311148256,0.806
Cib1,-0.314732593,0.804
Slc20a1,-0.307572802,0.808
Mmp17,-0.369594529,0.774
Cd2bp2,-0.251538767,0.84
Slc14a1,-0.318325858,0.802
Wdr12,-0.356605547,0.781
Cacnb3,-0.371459681,0.773
Plcb3,-0.543719518,0.686
H47,-0.215914857,0.861
Iap,-0.15682011,0.897
Rbp1,-0.407363571,0.754
Nab1,-0.573466862,0.672
Taf10,-0.16326792,0.893
Sdc4,-0.4639471,0.725
Dusp1,-0.347398782,0.786
Msra,-0.189351252,0.877
3010026O09Rik,-0.438307279,0.738
4632409L19Rik,-0.646112164,0.639
Gria1,-0.295128036,0.815
Ercc4,-0.291592017,0.817
Rhou,-0.352915787,0.783
Ctcf,-0.380821784,0.768
Gli1,-0.522840789,0.696
1810060J02Rik,-0.20756107,0.866
A930040G15Rik,-0.189351252,0.877
Rap2ip,-0.195946441,0.873
Rab3d,-0.57132159,0.673
Mapk12,-0.300448367,0.812
Slk,-0.438307279,0.738
Ptplb,-0.440263476,0.737
Dcn,-0.516635639,0.699
Pde9a,-0.49410907,0.71
Chd1l,-0.256700472,0.837
D6Wsu163e,-0.253257284,0.839
Eef1d,-0.260151897,0.835
Zfp467,-0.459972731,0.727
Gprk5,-0.61705613,0.652
2610200G18Rik,-0.231074664,0.852
Gadd45b,-0.336427665,0.792
Prkg1,-0.921390165,0.528
Ppargc1b,-0.246395464,0.843
Fgf14,-0.646112164,0.639
Nrk,-0.426625474,0.744
Cnot4,-0.336427665,0.792
Srprb,-0.268816758,0.83
Zfp101,-0.272297327,0.828
D3Ertd300e,-0.655171503,0.635
Scn1a,-0.314732593,0.804
MGI:1932093,-0.219269964,0.859
Ak3l1,-0.232768963,0.851
Twsg1,-0.552156356,0.682
